CODE,School,Town,County
,Abby Kelley Foster Charter Public School,Worcester,Worcester County
,Abington High School,Abington,Plymouth County
,Academy at Charlemont,Charlemont,Franklin County
ACAD,Academy of Notre Dame,Tyngsborough,Middlesex County
,Academy of the Pacific Rim Charter Public School,Hyde Park,Suffolk County
ACTO,Acton-Boxborough Regional High School,Acton,Middlesex County
AMSA,Advanced Math and Science Academy Charter School,Marlborough,Middlesex County
AGAW,Agawam High School,Agawam,Hampden County
,Al Noor Academy,Mansfield,Bristol County
ARHS,Algonquin Regional High School,Northborough,Worcester County
,Amesbury High School,Amesbury,Essex County
,Amesbury Innovation High School,Amesbury,Essex County
AMHE,Amherst Regional High School,Amherst,Hampshire County
ANDO,Andover High School,Andover,Essex County
APQT,Apponequet Regional High School,Lakeville,Plymouth County
ARCH,Archbishop Williams High School,Braintree,Norfolk County
,Arlington Catholic High School,Arlington,Middlesex County
ARLI,Arlington High School,Arlington,Middlesex County
ASHL,Ashland High School,Ashland,Middlesex County
,Assabet Valley Regional Technical High School,Marlborough,Middlesex County
,Athol High School,Athol,Worcester County
,Attleboro Community Academy,Attleboro,Bristol County
ATTL,Attleboro High School,Attleboro,Bristol County
,Auburn High School,Auburn,Worcester County
,Austin Preparatory School,Reading,Middlesex County
,Ayer Shirley Regional High School,Ayer,Middlesex County
DURF,B.M.C. Durfee High School,Fall River,Bristol County
,Bancroft School,Worcester,Worcester County
BARN,Barnstable High School,Hyannis,Barnstable County
,Bartlett High School,Webster,Worcester County
,Bay Path Regional Vocational Technical High School,Charlton,Worcester County
BEDF,Bedford High School,Bedford,Middlesex County
BELC,Belchertown High School,Belchertown,Hampshire County
,Bellingham High School,Bellingham,Norfolk County
BELM,Belmont High School,Belmont,Middlesex County
,Belmont Hill School,Belmont,Middlesex County
,Berkshire Arts & Technology Charter Public School,Adams,Berkshire County
,Berkshire School,Sheffield,Berkshire County
BEVE,Beverly High School,Beverly,Essex County
BILL,Billerica Memorial High School,Billerica,Middlesex County
BCON,Bishop Connolly High School,Fall River,Bristol County
BFEE,Bishop Feehan High School,Attleboro,Bristol County
,Bishop Fenwick High School,Peabody,Essex County
BSTA,Bishop Stang High School,North Dartmouth,Bristol County
,Blackstone Valley Regional Vocational Technical High School,Upton,Worcester County
,Blackstone-Millville Regional High School,Blackstone,Worcester County
BLUE,Blue Hills Regional Technical School,Canton,Norfolk County
,Boston Arts Academy,Boston,Suffolk County
BOST,Boston College High School,Dorchester,Suffolk County
,Boston Community Leadership Academy,Boston,Suffolk County
,Boston Latin Academy,Roxbury,Suffolk County
BOSL,Boston Latin School,Boston,Suffolk County
RENA,Boston Renaissance Charter Public School,Boston,Suffolk County
,Boston University Academy,Boston,Suffolk County
,Bourne High School,Bourne,Barnstable County
BRAI,Braintree High School,Braintree,Norfolk County
BRID,Bridgewater-Raynham Regional High School,Bridgewater,Plymouth County
,Bristol County Agricultural High School,Dighton,Bristol County
,Bristol-Plymouth Regional Technical School,Taunton,Bristol County
,British School of Boston,Boston,Suffolk County
BROC,Brockton High School,Brockton,Plymouth County
BROO,Brookline High School,Brookline,Norfolk County
,Brooks School,North Andover,Essex County
,Buckingham Browne & Nichols,Cambridge,Middlesex County
WOBU,Burlington High School,Burlington,Middlesex County
,Burncoat High School,Worcester,Worcester County
,Buxton School,Williamstown,Berkshire County
MATI,Cambridge Matignon School,Cambridge,Middlesex County
CRLS,Cambridge Rindge and Latin School,Cambridge,Middlesex County
CANT,Canton High School,Canton,Norfolk County
,Cape Cod Academy,Osterville,Barnstable County
,Cape Cod Regional Technical High School,Harwich,Barnstable County
CARD,Cardinal Spellman High School,Brockton,Plymouth County
,Carver Middle High School,Carver,Plymouth County
,Cathedral High School,Boston,Suffolk County
CATH,Catholic Memorial High School,West Roxbury,Suffolk County
CENT,Central Catholic High School,Lawrence,Essex County
,Chapel Hill - Chauncy Hall School,Waltham,Middlesex County
,Charles H. McCann Technical High School,North Adams,Berkshire County
,Charlestown High School,Charlestown,Suffolk County
CHEL,Chelmsford High School,Chelmsford,Middlesex County
,Chelsea High School,Chelsea,Suffolk County
CHCO,Chicopee Comprehensive High School,Chicopee,Hampden County
CHIC,Chicopee High School,Chicopee,Hampden County
,Clinton High School,Clinton,Worcester County
HICO,Cohasset High School,Cohasset,Norfolk County
,Commonwealth School,Boston,Suffolk County
,Community Charter School of Cambridge,Cambridge,Middlesex County
,Concord Academy,Concord,Middlesex County
CCHS,Concord-Carlisle High School,Concord,Middlesex County
,Cristo Rey Boston High School,Cambridge,Middlesex County
,Cushing Academy,Ashburnham,Worcester County
,Dana Hall School,Wellesley,Norfolk County
DANV,Danvers High School,Danvers,Essex County
,Dartmouth High School,Dartmouth,Bristol County
,David Prouty High School,Spencer,Worcester County
