Year,Name
2025,Doug Curtin
2024,Marian Nihan
2023,Bryan King
2022,Joe Chirico
2020,Claude Valle
2019,Jean Fedak
2018,Dave Chaplin
2017,Bob McGillicuddy
2016,Jerry Moss
2015,Joan Kelly
2014,Mike Foley
2013,Jeff Johnson
2012,Peter Foley
2011,Rob Garon
2010,Kim Whitworth
2009,Al Thomas
2008,Julie Doherty
2007,Peter Chamberlain
2006,Priscilla Davis
2005,Bob Young
2004,Dick Whitworth
2003,Tony Compton
2002,Lois Margeson
2001,Keith Meliones
2000,Brendan O'Neill
1999,Mark Thomas
1998,Joe Yeskewicz
1997,Jim Kane
