School Year,Season,Sex,Division,Place,School,Score
2025-2026,fall,F,South,1,Newton North High School,412
2025-2026,fall,F,South,2,Brookline High School,309
2025-2026,fall,F,South,3,Wellesley High School,254
2025-2026,fall,F,South,4,Framingham High School,252
2025-2026,fall,F,South,5,Natick High School,173
2025-2026,fall,F,South,6,Needham High School,164
2025-2026,fall,F,South,7,Boston Latin School,140
2025-2026,fall,F,South,8,Weymouth Wildcats High School,129
2025-2026,fall,F,South,9,Milton High School,128
2025-2026,fall,F,South,10,Notre Dame Academy,110
2025-2026,fall,F,South,11,Ursuline Academy,101
2025-2026,fall,F,South,12,Walpole High School,46
2025-2026,fall,F,North,1,Haverhill High School,291
2025-2026,fall,F,North,2,Chelmsford High School,238
2025-2026,fall,F,North,3,Andover High School,235
2025-2026,fall,F,North,4,Belmont High School,227
2025-2026,fall,F,North,5,Lexington High School,195
2025-2026,fall,F,North,6,Acton-Boxborough Regional High School,163
2025-2026,fall,F,North,7,Woburn/Burlington High School,155
2025-2026,fall,F,North,8,North Andover High School,130.5
2025-2026,fall,F,North,9,Wakefield Memorial High School,125
2025-2026,fall,F,North,10,Winchester High School,116
2025-2026,fall,F,North,11,Reading Memorial High School,98
2025-2026,fall,F,North,12,Billerica Memorial High School,83
2025-2026,fall,F,North,13,Arlington High School,68.5
2025-2026,fall,F,North,14,Malden Catholic High School,50
2025-2026,fall,F,North,15,Academy of Notre Dame,40
2025-2026,fall,F,North,16,Central Catholic High School,36
2025-2026,fall,F,North,17,Methuen High School,33
2025-2026,fall,F,North,18,Lowell High School,25
2025-2026,fall,M,South,1,Milton High School,319
2025-2026,fall,M,South,2,Braintree High School,245
2025-2026,fall,M,South,3,Walpole High School,184
2025-2026,fall,M,South,4,Weymouth Wildcats High School,167
2025-2026,fall,M,North,1,Methuen High School,229
2025-2026,fall,M,North,2,Billerica Memorial High School,199
2025-2026,fall,M,North,3,North Andover High School,177
2025-2026,fall,M,North,4,Academy of Notre Dame,65
2025-2026,fall,M,North,5,Lowell High School,32
