School Year,Season,Sex,Division,Place,School,Score
2025-2026,fall,F,Division 2,1,Wellesley High School,292
2025-2026,fall,F,Division 2,2,Chelmsford High School,282
2025-2026,fall,F,Division 2,3,Belmont High School,275
2025-2026,fall,F,Division 2,4,Natick High School,190
2025-2026,fall,F,Division 2,5,Woburn Memorial High School & Burlington High School,164
2025-2026,fall,F,Division 2,6,North Andover High School,159
2025-2026,fall,F,Division 2,7,Wakefield Memorial High School,139
2025-2026,fall,F,Division 2,8,Winchester High School,138
2025-2026,fall,F,Division 2,9,Reading Memorial High School,134
2025-2026,fall,F,Division 2,10,Milton High School,130
2025-2026,fall,F,Division 2,11,Weymouth High School,129
2025-2026,fall,F,Division 2,12,Billerica Memorial High School,104
2025-2026,fall,F,Division 2,13,Walpole High School,44
2025-2026,fall,F,Division 2,14,Academy of Notre Dame,40
2025-2026,fall,F,Division 1,1,Newton North High School,349
2025-2026,fall,F,Division 1,2,Brookline High School,260
2025-2026,fall,F,Division 1,3,Haverhill High School,256
2025-2026,fall,F,Division 1,4,Andover High School,210
2025-2026,fall,F,Division 1,5,Framingham High School,207
2025-2026,fall,F,Division 1,6,Lexington High School,174
2025-2026,fall,F,Division 1,7,Needham High School,154
2025-2026,fall,F,Division 1,8,Acton-Boxborough Regional High School,124
2025-2026,fall,F,Division 1,9,Boston Latin School,103
2025-2026,fall,F,Division 1,10,Arlington High School,97
2025-2026,fall,F,Division 1,10,Ursuline Academy,97
2025-2026,fall,F,Division 1,12,Notre Dame Academy,79
2025-2026,fall,F,Division 1,13,Malden Catholic High School,60
2025-2026,fall,F,Division 1,14,Methuen High School,24
2025-2026,fall,F,Division 1,15,Central Catholic High School,23
2025-2026,fall,F,Division 1,16,Lowell High School,18
2025-2026,fall,M,Division 2,1,Milton High School,197
2025-2026,fall,M,Division 2,2,Braintree High School,95
2025-2026,fall,M,Division 2,3,Billerica Memorial High School,71
2025-2026,fall,M,Division 2,4,Walpole High School,63
2025-2026,fall,M,Division 2,5,North Andover High School,40
2025-2026,fall,M,Division 2,6,Weymouth High School,32
2025-2026,fall,M,Division 2,7,Academy of Notre Dame,20
2025-2026,fall,M,Division 1,1,Methuen High School,100
2025-2026,winter,F,Division 2,1,Weston High School,262
2025-2026,winter,F,Division 2,2,Wayland High School,257
2025-2026,winter,F,Division 2,3,Seekonk High School,189
2025-2026,winter,F,Division 2,4,Mystic Valley Regional Charter School,179
2025-2026,winter,F,Division 2,4,Dover-Sherborn High School,179
2025-2026,winter,F,Division 2,6,Triton Regional High School,131
2025-2026,winter,F,Division 2,7,Medfield High School & Norwood High School,118
2025-2026,winter,F,Division 2,8,Duxbury High School,93
2025-2026,winter,F,Division 2,9,Nantucket High School,84
2025-2026,winter,F,Division 2,10,Westwood High School,76
2025-2026,winter,F,Division 2,11,Greater Lowell Technical High School,62
2025-2026,winter,F,Division 2,12,Apponequet Regional High School,60
2025-2026,winter,F,Division 2,12,The Bromfield School,60
2025-2026,winter,F,Division 2,14,Scituate High School,59
2025-2026,winter,F,Division 2,15,Lynnfield High School & Wakefield Memorial High School,57
2025-2026,winter,F,Division 2,16,Dedham High School,56
2025-2026,winter,F,Division 2,17,Ashland High School,54
2025-2026,winter,F,Division 2,18,Belchertown High School,52
2025-2026,winter,F,Division 2,19,Tantasqua Regional High School,40
2025-2026,winter,F,Division 2,20,Sandwich High School,38
2025-2026,winter,F,Division 2,21,Norwell High School & South Shore Vocational Technical High School,32
2025-2026,winter,F,Division 2,22,Hamilton-Wenham Regional High School,31
2025-2026,winter,F,Division 2,22,Swampscott High School,31
2025-2026,winter,F,Division 2,24,Norton High School,29
2025-2026,winter,F,Division 2,25,Nauset Regional High School,20
2025-2026,winter,F,Division 2,26,Advanced Math and Science Academy Charter School,17
2025-2026,winter,F,Division 2,27,Easthampton High School,12
2025-2026,winter,F,Division 2,28,North Reading High School & Wilmington High School,7
2025-2026,winter,F,Division 2,29,Old Rochester Regional High School,5
2025-2026,winter,F,Division 2,30,Salem High School,3
2025-2026,winter,F,Division 2,31,Lynn Vocational and Technical Institute,2
2025-2026,winter,F,Division 1,1,Concord-Carlisle High School,283
2025-2026,winter,F,Division 1,2,Amherst Regional High School,244
2025-2026,winter,F,Division 1,3,Marblehead High School,176
2025-2026,winter,F,Division 1,4,Longmeadow High School,153
2025-2026,winter,F,Division 1,5,Sharon High School,123
2025-2026,winter,F,Division 1,6,Minnechaug Regional High School,113.5
2025-2026,winter,F,Division 1,7,Westford Academy,106
2025-2026,winter,F,Division 1,8,Algonquin Regional High School,97
2025-2026,winter,F,Division 1,9,New Bedford High School,96
2025-2026,winter,F,Division 1,10,Westfield High School,91.5
2025-2026,winter,F,Division 1,11,Lincoln-Sudbury Regional High School,70
2025-2026,winter,F,Division 1,12,Newton South High School,69
2025-2026,winter,F,Division 1,13,Franklin High School,64.5
